图片,前型,现状,满载排水量,简介,制造厂,导弹,续航距离,反舰导弹,水上排水量,自持力,型宽,次型,潜航深度,大类,类型,编制,舰长,产国,活动范围,航速,同型,名称,建造时间,_id,关注度,下水时间,满排吨位,火炮,服役时间
http://images.huanqiu.com/sarons/2013/11/801ab74bb0c9a4b87d57047976d838af.jpg,NULL,已退役,1661.5吨,"
520 开封号，053H型(江湖I级)导弹护卫舰。1978年10月3日开工，1979年10月7日下水，1980年6月28日服役于北海舰队。
",NULL,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,3.19米,舰船舰艇,护卫舰,190人,103.2米,中国,NULL,26节,NULL,“开封”号（520）导弹护卫舰,1978年10月3日,{'$oid': '5cc931d8831b973d657f1716'},NULL,1979年10月7日,500-2000吨,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/0df51ec27175320099dcaab816e9bb53.jpg,NULL,在役,1960吨,"
553 韶关号，053H1型(江湖II级)护卫舰，1984年3月31日开工，1985年5月2日下水，1985年9月24日服役于南海舰队。
",广州造船厂,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,200人,103.2米,中国,NULL,25.5节,NULL,“韶关”号（553）护卫舰,1984年3月31日,{'$oid': '5cc931d8831b973d657f1717'},NULL,1985年5月2日,500-2000吨,NULL,1985年9月24日
http://images.huanqiu.com/sarons/2013/11/4d411d98d943ac3cfcec3e5a94e2e07f.jpg,NULL,NULL,1661.5吨,"
516 九江号，曾命名长沙号，1978年1月舷号由526改为516，1981年8月1日命名为“九江舰”。053H型（江湖I级）导弹护卫舰的首舰。1975年2月2日根据“订字75—160号”合同开工在沪东造船厂开工建造，1975年6月28日下水，1975年9月17日—10月10日试航，1975年12月31日交船，服役于东海舰队。
",沪东造船厂,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,3.19米,舰船舰艇,护卫舰,190人,103.2米,中国,NULL,26节,NULL,“九江”号（516）导弹护卫舰,1975年2月2日,{'$oid': '5cc931d8831b973d657f1718'},NULL,1975年6月28日,500-2000吨,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/a1db4745d2f21631fcf32869dd866ada.jpg,NULL,2012年8月16日退役,1661.5吨,511南通号属053H型(江湖I级)导弹护卫舰。1976年2月23日在沪东造船厂开工，1976年11月9日下水，1986年8月1日被命名为“南通舰”。,沪东造船厂,NULL,4000海里/18节,NULL,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,护卫舰,190人,103.2米,中国,NULL,26节,NULL,“南通”号（511）护卫舰,1976年2月23日,{'$oid': '5cc931d8831b973d657f1719'},NULL,1976年11月9日,500-2000吨,NULL,1977年3月31日
http://images.huanqiu.com/sarons/2013/11/7ebee07c40b4aaa64c88de9ae0ac0ece.jpg,NULL,NULL,2400吨,567 襄樊号，053H3型（北约称江卫Ⅱ级)导弹护卫舰，广州造船厂制造，2002年5月服役于南海舰队。,广州造船厂,NULL,5000海里/16节,NULL,NULL,NULL,12.4米,NULL,NULL,舰船舰艇,护卫舰,168人,112米,中国,NULL,26.5节,NULL,“襄樊”号（567）,NULL,{'$oid': '5cc931d8831b973d657f171a'},NULL,NULL,2000-5000吨,NULL,2002年5月
http://images.huanqiu.com/sarons/2013/11/692a70e02b1423890742ab3b83652e96.jpg,NULL,NULL,2250吨,“江卫II”级护卫舰565号也曾被命名为“玉林”号，但现今已改名为“三亚”号2010年2月1日南海舰队054型护卫舰(“江卫II”级护卫舰)569号交付 。569号国产最新型导弹护卫舰入列命名“玉林”号（原来565玉林舰改名三亚舰，2013年4月，又改名为葫芦岛舰）。,广州造船厂,NULL,5000海里/16节,NULL,NULL,NULL,14米,葫芦岛舰,NULL,舰船舰艇,护卫舰,180人,115米,中国,NULL,28节,“三亚”号,“玉林”号（565）护卫舰,NULL,{'$oid': '5cc931d9831b973d657f171b'},NULL,NULL,2000-5000吨,NULL,2010年2月1日
NULL,NULL,已退役,1389吨,508 西昌号，曾命名为衡阳号，6601型护卫舰，是中国海军自行建造的第一型护卫舰6601型护卫舰的四号舰，1956年3月在上海沪东造船厂开工建造，1958年服役于华东军区海军，服役早期舷号为208，命名为衡阳舰。,上海沪东造船厂,NULL,2000海里/14节,NULL,NULL,NULL,10.1米,NULL,NULL,舰船舰艇,护卫舰,190人,91.5米,中国,NULL,28节,NULL,“西昌”号(508) 护卫舰,1956年,{'$oid': '5cc931d9831b973d657f171c'},NULL,1957年,500-2000吨,NULL,1958年
http://images.huanqiu.com/sarons/2013/11/1a65037c20797a6429005b665a1bbf42.jpg,NULL,NULL,2250吨,542 铜陵号，053H2G（江卫I级)型护卫舰，沪东造船厂制造，1991年开工，1993年12月下水，1994年7月1日服役。1994年11月10日，被命名为“铜陵舰”。,沪东造船厂,NULL,4000海里/18节,2座三联装鹰击-8A舰舰导弹发射装置防空导弹,NULL,NULL,12.1米,NULL,NULL,舰船舰艇,护卫舰,170人,111.7米,中国,NULL,25节,NULL,“铜陵”号（542） ,1991年,{'$oid': '5cc931d9831b973d657f171d'},NULL,1993年12月,2000-5000吨,NULL,1994年7月1日
http://images.huanqiu.com/sarons/2013/11/36eea8aa842a5cbec39eea1131c31963.jpg,NULL,NULL,2250吨,淮南号，江卫级（053H2G)护卫舰，沪东造船厂制造，于1990年下水，1992年6月服役。,沪东造船厂,NULL,4000海里/18节,NULL,NULL,NULL,12.1米,NULL,NULL,舰船舰艇,护卫舰,170人,111.7米,中国,NULL,25节,NULL,“淮南”号（540）,NULL,{'$oid': '5cc931d9831b973d657f171e'},NULL,1990年,2000-5000吨,NULL,1992年6月
http://images.huanqiu.com/sarons/2013/11/3d822ce1946dc93fc337a8d8238da132.jpg,NULL,已退役,1389吨,"
506 成都号，6601型（成都级）护卫舰，1955年8月在上海沪东造船厂开工建造，1956年9月26日下水，1957年开始服役于东海舰队，1974年西沙海战后调往南海舰队。1994年退役。
",上海沪东造船厂,NULL,2000公里/18节,NULL,NULL,NULL,10.1米,NULL,NULL,舰船舰艇,护卫舰,190人,91.5米,中国,NULL,28节,NULL,“成都”号(506)护卫舰,1955年,{'$oid': '5cc931d9831b973d657f171f'},NULL,1956年,500-2000吨,NULL,1957年
