图片,前型,现状,满载排水量,简介,制造厂,续航距离,水上排水量,自持力,型宽,次型,潜航深度,大类,类型,编制,舰长,产国,活动范围,航速,同型,名称,建造时间,_id,下水时间,枪械,满排吨位,火炮,服役时间
NULL,NULL,NULL,NULL,NULL,黄貂鱼海事公司(南非),巡航速度下，300英里,NULL,NULL,4.4米,NULL,NULL,舰船舰艇,巡逻舰/艇,NULL,12米,南非,NULL,35节,NULL,拦截级巡逻船,NULL,{'$oid': '5cc9320a831b973d657f187a'},NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,达门船舶有限公司,未知,NULL,NULL,2.9米,NULL,NULL,舰船舰艇,巡逻舰/艇,7人,14.8米,荷兰,NULL,55节,NULL,Sea Stalker 1500级高速冲击艇,NULL,{'$oid': '5cc9320a831b973d657f187b'},NULL,NULL,NULL,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/7d2801fe0fadddfacebe0493b5b81ea6.jpg,NULL,NULL,NULL,NULL,Dockstavarvet and Gotlands Varv（瑞典）,240英里，30节,NULL,NULL,3.8米,NULL,NULL,舰船舰艇,巡逻舰/艇,NULL,15.9米,瑞典,NULL,50节,NULL,战艇90H,NULL,{'$oid': '5cc9320a831b973d657f187c'},NULL,NULL,NULL,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/8065db17610cdf9b1a4691fb3272d134.jpg,NULL,NULL,NULL,"
17.5英尺长，可折叠，双人艇。
",克莱珀皮船(klepper Kayaks，德国，罗森海姆),NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,巡逻舰/艇,NULL,NULL,德国,NULL,NULL,NULL,克莱珀皮艇,NULL,{'$oid': '5cc9320b831b973d657f187d'},NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,Simmonneau(法国),NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,巡逻舰/艇,NULL,15.2米,法国,NULL,28节,NULL,近岸巡逻艇/导弹艇,NULL,{'$oid': '5cc9320b831b973d657f187e'},NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,150英里，35节,NULL,NULL,3.1米,NULL,NULL,舰船舰艇,巡逻舰/艇,NULL,83米,南非,NULL,37节,NULL,三角洲80登陆艇,未知,{'$oid': '5cc9320b831b973d657f187f'},NULL,NULL,NULL,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/c2969b2f84d325e4f52ea90d4cf37583.jpg,NULL,NULL,4吨,"
存在多种不同类型的巡逻艇。两艘为“美洲豹”(Cougar)两吨排水量40-节速的高速巡逻艇。三艘排水量为一吨，还有一艘排水量为四吨以及四艘14～15吨排水量的巡逻艇。
",美洲豹海事公司,NULL,NULL,NULL,NULL,NULL,NULL,舰船舰艇,巡逻舰/艇,NULL,NULL,英国,NULL,40节,NULL,港口巡逻艇（HSIC）,NULL,{'$oid': '5cc9320b831b973d657f1880'},NULL,NULL,NULL,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/a0f2d4268e206e5f143e4537a2cd256e.jpg,NULL,NULL,19吨,"
该船为玻璃纤维船体，采用完全封闭的驾驶室，带有海岸防卫标志。
",NULL,350海里，35节,NULL,NULL,4.04米,NULL,NULL,舰船舰艇,巡逻舰/艇,8人,15.4米,土耳其,NULL,NULL,NULL,Kaan15级高级冲击/拦截艇,NULL,{'$oid': '5cc9320b831b973d657f1881'},NULL,两挺12.7毫米机枪。,500吨以内,NULL,NULL
NULL,NULL,NULL,5.7吨,"
Cougar Enforcer是英国研制的一款高速拦截艇。目前主要装备科威特海岸防卫队。
",NULL,250英里,NULL,NULL,2.8米,NULL,NULL,舰船舰艇,巡逻舰/艇,4人,12.2米,英国,NULL,35节,NULL,Cougar Enforcer 级高速拦截艇（HSIC）,NULL,{'$oid': '5cc9320b831b973d657f1882'},NULL,一挺12.7毫米机枪。,500吨以内,NULL,NULL
http://images.huanqiu.com/sarons/2013/11/b746358385200c04e5197ef5fae2d66b.jpg,NULL,NULL,NULL,"
两种型号均长15米(49英尺)并装备有两台750马力的柴油发动机，速度超过55节。一种是VSV的穿浪型船体，这种船体可以在高级别的海洋状况下维持高的航行速度。两种艇都可进行空运。
",NULL,未知,NULL,NULL,NULL,NULL,NULL,舰船舰艇,巡逻舰/艇,NULL,15米,英国,NULL,55节,NULL,英国高速拦截艇（HSIC）,未知,{'$oid': '5cc9320c831b973d657f1883'},NULL,NULL,NULL,NULL,NULL
