国家,生产厂商
意大利,意大利芬坎蒂尼(Fincantieri)公司
以色列,洛克韦尔(Rockwell)公司
德国,伏尔铿造船厂
英国,英国亚罗造船公司
泰国,中华造船厂
苏/俄,俄罗斯圣彼得堡北方造船厂
美国,美国塔科马造船有限公司
印度,马扎刚船坞有限公司
德国,北方造船厂
英国,英国沃·桑船厂
英国,霍氏克罗夫特公司
法国,法国舰艇建造局（DCN）新加坡科技船舶公司（STM）
德国,布洛姆·福斯造船厂，基尔
德国,德国博隆福斯造船厂
中国,沪东中华造船厂
中国,广州黄埔造船厂
中国,中国上海沪东中华造船集团
中国,黄埔厂
中国,中国上海沪东中华造船厂，巴基斯坦卡拉奇船厂
法国,瑟堡海军造船厂(Cherbourg Naval Dockyard)
英国,维克斯造船工程有限公司
英国,英国维克斯造船工程有限公司巴罗造船厂
苏/俄,北德文斯克造船厂(Severodvinsk)
英国,巴罗因弗内斯造船厂
苏/俄,圣彼得堡市海军部造船厂
中国,葫芦岛的渤海造船重工业公司
中国,葫芦岛船厂
美国,纽波特纽斯造船公司，通用动力电船公司
苏/俄,北德文斯克造船厂
法国,DCN公司
苏/俄,红色索尔莫沃造船厂
苏/俄,北德文斯克造船厂（K－278号潜艇）
意大利,法比奥布兹(Fabio Buzzi，意大利)
苏/俄,Jaroslawski Sudostroiteinyj Zawod公司
英国,斯林斯贝公司(英国)
苏/俄,阿尔马兹船厂，大海造船厂
印度,英国格里丰气垫船公司，加登•里奇造船工程有限公司，格里丰有限公司
英国,ABS气垫船公司(英国)(瑞典特许生产)
中国,“大海”造船厂
德国,阿贝金与拉斯穆森(Abeking & Rasmussen)公司吕尔森(Lurssen)公司
德国,阿贝金与拉斯穆森(Abeking & Rasmussen)公司，吕尔森(Lurssen)公司
美国,彼得森(Peterson)公司
英国,沃斯帕·桑尼克罗夫特有限公司
苏/俄,科尔皮诺和伯力造船厂
中国,大连红旗造船厂
瑞典,瑞典卡尔斯克鲁纳造船厂
日本,日立重工有限公司日本钢管公司
苏/俄,列宁格勒彼得洛夫斯克船厂
日本,日本钢管公司 
挪威,挪威克瓦纳曼达尔船厂
中国,上海求新造船厂，大连造船厂
印度,科钦船厂有限公司
法国,法国船舶建造局
美国,纽波特纽斯造船及船坞公司
美国,弗吉尼亚州新港纽斯造船厂（Newport News Shipbuilding）
中国,尼古拉耶夫造船厂/大连造船厂
美国,诺·格公司纽波特纽斯船厂
英国,BAE系统公司水面舰艇，泰雷兹集团，巴布科克海事
