型宽,名称,鱼雷,大类,编制,舰长,武器装备,潜航深度,水下排水量,制造厂,_id,图片,次型,满载排水量,活动范围,服役时间,前型,下水时间,产国,满排吨位,类型,建造时间,同型,简介,航速,自持力,水上排水量,现状,续航距离
10.1米,决心级/Resolution核潜艇,NULL,舰船舰艇,143人,129.5米,NULL,300米,8500吨,NULL,{'$oid': '5cc931e8831b973d657f178c'},http://images.huanqiu.com/sarons/2013/12/fde7e86e32d0e5a786eee7beeabeb086.jpg,NULL,NULL,NULL,1967年6月22日,NULL,NULL,英国,5000-10000吨,核潜艇,NULL,NULL,"
英国第一艘战略核潜艇“决心”号于1967年6月22日出海巡航。“骑士”弹头在1982～1988年替代了原来的“北极星”导弹装载弹头。自1969年初以来，该级艇至少有一艘可随时发射洲际弹道导弹。该级艇第一艘在1993年退役，继而有“前卫”级战略潜艇服役。
",25节,NULL,7600吨,退役,NULL
NULL,670型/查理级（C级）,NULL,舰船舰艇,100人,NULL,NULL,NULL,NULL,红色索尔莫沃造船厂,{'$oid': '5cc931e8831b973d657f178d'},http://images.huanqiu.com/sarons/2013/12/4772d495ae437a9fefd4b5f643999f93.jpg,NULL,NULL,NULL,NULL,NULL,NULL,苏/俄,5000-10000吨,核潜艇,NULL,NULL,"
670型“鳐鱼”级巡航导弹核潜艇，北约命名为C级（查理级），是苏联海军第二代核潜艇。由苏联第112中央设计局设计，红色索尔莫沃造船厂制造。查理级是前苏联继回声级核潜艇之后发展的第二代巡航导弹核潜艇。同时，该艇又是第一级具有水下发射导弹能力的潜艇。该型K-43号在1988年1月到1991年1月租借给印度海军改名为“查卡拉”号，成为世界上第一艘租借国外的核潜艇。
",NULL,NULL,4000吨,NULL,NULL
13.5米,971型/阿库拉级（AK级）核潜艇,NULL,舰船舰艇,110人,110米,NULL,400米,12770吨,NULL,{'$oid': '5cc931e9831b973d657f178e'},http://images.huanqiu.com/sarons/2013/12/60595ca44ba4311b4fe5d8b6a96b7301.jpg,NULL,NULL,NULL,NULL,NULL,NULL,苏/俄,10000-50000吨,核潜艇,NULL,NULL,"
它是前苏联海军继“O”级核潜艇之后建造的第四代攻击核潜艇，从1984年开始，苏联海军继“O”级之后建造了 阿库拉级（“鲨鱼”级）攻击核潜艇，它是前苏联第四代核潜艇。1985年服役。它是一级多用途攻击核潜艇。它不但是俄罗斯排水量最大的攻击核潜艇，就是在当今世界现役核攻击潜艇当中，也是数一数二的。目前有九艘在俄罗斯海军服役。主要用于消灭敌方潜艇和水面舰只，协同水面舰艇编队作战等。
",33节,NULL,8140吨,NULL,NULL
10.7米,685型/麦克级(M级),NULL,舰船舰艇,36人,117.5米,"鱼雷",1020米,8500吨,北德文斯克造船厂（K－278号潜艇）,{'$oid': '5cc931e9831b973d657f178f'},http://images.huanqiu.com/sarons/2013/12/775700f7a9122ca3aa81c552cf22ece7.jpg,亚森级核潜艇,NULL,太平洋,1983年12月28日（K－278号潜艇）,阿尔法级核潜艇,1983年6月3日（K－278号潜艇）,苏/俄,5000-10000吨,核潜艇,1978年4月22日（K－278号潜艇）,1艘,,14.6节,NULL,5800吨,NULL,NULL
15米,885型/亚森级 核潜艇,NULL,舰船舰艇,65人,120米,NULL,600米,13800吨,NULL,{'$oid': '5cc931e9831b973d657f1790'},http://images.huanqiu.com/sarons/2013/12/17ca29258ea5f86643a0f16d126050df.jpg,NULL,NULL,NULL,NULL,阿库拉级（狗鱼级） ,2010年6月15日,苏/俄,10000-50000吨,核潜艇,1993年12月21日,NULL,"
亚森级核动力攻击潜艇（俄语：Проект 885 ""Ясень""，意为885号工程“梣树”，西方称为雅森级或“北德文斯克级”也有错误地称为葛莱尼级者（Graney）是俄罗斯海军的通用攻击型核动力潜艇，由阿库拉级和阿尔法级发展而来，计划用来取代目前俄罗斯海军中于苏联时期研制的潜艇，包括阿库拉级和奥斯卡级。
",35节,NULL,8600吨,准备服役,NULL
18.2米,库尔斯克号核潜艇,NULL,舰船舰艇,107人,154米,NULL,600米,19400吨,北德文斯克造船厂,{'$oid': '5cc931e9831b973d657f1791'},,NULL,13900吨,NULL,1995年1月,NULL,1994年5月,苏/俄,10000-50000吨,核潜艇,NULL,NULL,,30节,140天,14700吨,沉没,NULL
12米,945型/梭鱼/S级核潜艇,NULL,舰船舰艇,61人,107米,NULL,600米,8600吨,红色索尔莫沃造船厂,{'$oid': '5cc931e9831b973d657f1792'},,亚森级核潜艇 ,NULL,NULL,NULL,阿尔法级核潜艇 ,NULL,苏/俄,5000-10000吨,核潜艇,1979年,NULL,"
苏联攻击型核潜艇945型“梭鱼”(俄语：Барракуда)，北约命名为“塞拉I级”。“塞拉”(英语：Sierra)是北约音标字母中对字母“S”的读音。
",10节,NULL,7200吨,在役,NULL
9.8米,快速级攻击核潜艇,NULL,舰船舰艇,116人,92.9米,NULL,NULL,4900吨,NULL,{'$oid': '5cc931e9831b973d657f1793'},http://images.huanqiu.com/sarons/2013/12/4fe9e23f3435669f33e029acf1f5efbc.jpg,NULL,NULL,NULL,1973年,NULL,NULL,英国,2000-5000吨,核潜艇,NULL,NULL,"
快速级是英国第二代攻击核潜艇，首艇1973年服役，共建造6艘，分别是“快速”号、“君权”号、“刚强”号、“辉煌”号、“无上”号和“壮丽”号。
",30节,NULL,4400吨,NULL,NULL
18.2米,949型/花岗岩/奥斯卡级核潜艇,NULL,舰船舰艇,130人,155米,NULL,600米,19400吨,红宝石设计局,{'$oid': '5cc931e9831b973d657f1794'},,雅森级 ,NULL,NULL,NULL,C级（670级） ,1980年,苏/俄,10000-50000吨,核潜艇,1978年,949级2艘，949A级12艘 ,"
奥斯卡级核动力巡航导弹潜艇（苏俄海军949型“花岗岩”和949A型“安泰”核动力巡航导弹潜艇，北约代号分别为奥斯卡I级和奥斯卡II级，两级并称奥斯卡级，英文：Oscar class)。
",NULL,NULL,14700吨,949级全部退役，949A级前2艘退役,NULL
7.2米,658型/旅馆级(H级),首部4座533毫米以及2座鱼类发射管      尾部2座300毫米鱼雷发射管导弹,舰船舰艇,128人,114米,NULL,300米,5300吨,NULL,{'$oid': '5cc931ea831b973d657f1795'},,NULL,NULL,NULL,NULL,NULL,NULL,苏/俄,5000-10000吨,核潜艇,NULL,NULL,,21节,NULL,4060吨,根据START-II协议于1991年前全部退役,NULL
