型宽,名称,大类,编制,舰长,制造厂,_id,图片,次型,满载排水量,活动范围,下水时间,服役时间,前型,枪械,产国,满排吨位,类型,建造时间,同型,简介,航速,自持力,导弹,现状,续航距离
7.8米,“猎豹”(Gepard)(143A)级快速导弹巡逻舰,舰船舰艇,NULL,57.6米,吕尔森船厂和克勒格尔船厂,{'$oid': '5cc93201831b973d657f1845'},http://images.huanqiu.com/sarons/2013/07/ed14b727c5961620e43a6dc75ff23483.jpg,NULL,391吨,NULL,NULL,1982年12月7日,“信天翁”级,NULL,德国,500吨以内,导弹艇,1979年7月11日,10艘,"
143A猎豹级是在143B信天翁级的基础上改进的，与143B信天翁级比较，猎豹级拆掉了两具鱼雷发射管和艇后部的76毫米舰炮，在尾部甲板上安装了一座MK49型21联装拉姆防空导弹发射装置，这使猎豹级外观很好识别。猎豹级配有多种武器，战力很强。“猎豹”级导弹艇也是由吕尔森和克勒格尔两个船厂建造的。从1979年7月11日首艇开工建造到1984年11月13日最后一艘建成服役，该级艇共建造了10艘。“猎豹”级导弹艇在1994年-1995年期间更新了电子战系统，1999年完成了作战系统升级。随着“信天翁”级的退役，“猎豹”级将成为德国海军导弹艇的中坚。
",40节,NULL,NULL,现役8艘,16节航速下2600英里
8.1米,“阿尔·希蒂克”(Alsiddiq)级快速导弹巡逻舰,舰船舰艇,NULL,58.1米,美国彼得森建筑公司,{'$oid': '5cc93201831b973d657f1846'},http://images.huanqiu.com/sarons/2013/07/145baf85a6553b6337a23b4b4f55c9ef.jpg,NULL,495吨,印度洋,NULL,1980年,NULL,NULL,美国,500吨以内,导弹艇,1972年,NULL,,38节,NULL,NULL,现役,14节航速下航程2900英里
82米,“普罗文斯”,舰船舰艇,NULL,56.7米,NULL,{'$oid': '5cc93201831b973d657f1847'},,NULL,430吨,NULL,NULL,NULL,NULL,NULL,英国,500吨以内,导弹艇,20世纪80年代,NULL,,40节,NULL,NULL,NULL,18节航速下2000英里
7.6米,“海兹/萨尔4.5”(Hetz/saar 4.5)级导弹巡逻舰,舰船舰艇,NULL,61.7米,以色列海法造船厂,{'$oid': '5cc93202831b973d657f1848'},http://images.huanqiu.com/sarons/2013/07/a2ceb52465b06898a193397b91066e28.jpg,NULL,488吨,印度洋,1980年7月,1980年8月,NULL,NULL,以色列,500吨以内,导弹艇,1980年至1998年,“萨尔”级“萨尔”2“萨尔”3“萨尔”4,,31节,NULL,NULL,在役,17节航速下3 000英里
8.2米,“斗土”l/“乌姆•阿尔马拉迪姆”级快速导弹巡逻舰,舰船舰艇,NULL,42米,NULL,{'$oid': '5cc93202831b973d657f1849'},http://images.huanqiu.com/sarons/2013/07/2f26ab0d84ae0447ec1e2b60f28f6146.jpg,NULL,245吨,NULL,NULL,NULL,NULL,NULL,法国,500吨以内,导弹艇,1964年3月,“斗士”级l 型，Ⅱ型和Ⅲ 型,,30节,NULL,NULL,在役,14节航速下1350英里
7.1米,“斯皮卡-M”/“汉达兰”级快速导弹巡逻舰,舰船舰艇,34人,43.6米,NULL,{'$oid': '5cc93202831b973d657f184a'},http://images.huanqiu.com/sarons/2013/07/f5ba4a8e307bae16b2e69bac106f7d03.jpg,NULL,NULL,太平洋,NULL,NULL,NULL,NULL,瑞典,NULL,导弹艇,1979年（汉达兰）,NULL,,34.5节,NULL,NULL,在役,14节航速下航程1850英里
3.7米,P4型鱼雷快艇,舰船舰艇,12人,19.3米,NULL,{'$oid': '5cc93202831b973d657f184b'},,NULL,22.4吨,NULL,NULL,NULL,NULL,NULL,中国,500吨以内,导弹艇,1950年9月17日,NULL,"
1950年9月17日，海军司令部电令华东、中南、华北和青岛基地，以购买苏联的36艘P4型鱼雷快艇为基础，各组建一个鱼雷快艇大队。根据命令，鱼雷快艇第31大队、鱼雷快艇第11大队、鱼雷快艇第21大队、鱼雷快艇第1大队分别在上海、广州、塘沽、青岛组建。海军第一支鱼雷快艇部队从此诞生。
",46节,NULL,NULL,NULL,700公里
6.8米,021型导弹艇,舰船舰艇,28人,38.6米,中国中华造船厂、中国江西造船厂,{'$oid': '5cc93202831b973d657f184c'},http://images.huanqiu.com/sarons/2013/11/275ba78fc0d33d0bbf689e3e1fa5aba6.jpg,NULL,205吨,NULL,1963年下水,1965年12月,6621型（“黄蜂”级）导弹快艇,NULL,中国,500吨以内,导弹艇,NULL,NULL,"
021型导弹艇（北约称“黄蜂”级），根据中苏“二四”协定转让的两型导弹艇（6621、6623）中的6621型艇发展而来的。2011年5月31号海军最后4艘21型导弹艇在南海举行隆重退役仪式，从而圆满完成30多年的历史使命，退出舞台。
",35节,NULL,NULL,退役,800海里/30节
29米,“特内里费”级河川巡逻艇,舰船舰艇,12人,124米,本德尔海事公司(BenderMarine)(美国),{'$oid': '5cc93202831b973d657f184d'},http://images.huanqiu.com/sarons/2013/11/cab428edee5a2d9bd95cf2902c2ba233.jpg,NULL,12吨,NULL,NULL,NULL,NULL,三挺12.7毫米机枪(一对和单挺)；一具Mk 19榴弹发射器；一挺7.62毫米机枪。,美国,500吨以内,导弹艇,未知,NULL,"
哥伦比亚海军陆战队用来缉毒的巡逻艇。铝制船体，并可进行空运。
",29节,NULL,NULL,NULL,530英里
3米,Baklan级高速拦截艇级,舰船舰艇,4人,15.5米,诺曼底造船厂,{'$oid': '5cc93203831b973d657f184e'},,NULL,12吨,NULL,NULL,NULL,NULL,NULL,法国,500吨以内,导弹艇,未知,NULL,,55节,NULL,NULL,NULL,30节航速下航程400英里
6.4米,037-Ⅱ型(红箭级)导弹艇,舰船舰艇,47人,45米,黄埔造船厂,{'$oid': '5cc93203831b973d657f184f'},,NULL,520吨,NULL,1988年,1988年,55甲型炮艇,NULL,中国,500-2000吨,导弹艇,1987年,P-770 阳江艇，P-771 顺德艇，P-772 南海艇，P-773 番禺艇，P-774 廉江艇,"
037II型（北约称：红箭级/Houjian Class）是我国第三代导弹快艇，于1988年海军首度公布设计名为EH-3D，是以美国设计的H-3型导弹快艇为基础发展而来，由广州黄埔造船厂建造。
",30节,NULL,NULL,现役,1800海里
9米,“巴赞/维塔/超级维塔”(Barzan/Vita/Super Vita)级快速导弹巡逻舰,舰船舰艇,NULL,56.3米,NULL,{'$oid': '5cc93203831b973d657f1850'},http://images.huanqiu.com/sarons/2013/07/e4e7033b2c087d3b673563638a5ba5b7.jpg,NULL,376吨,NULL,NULL,NULL,NULL,NULL,英国,500吨以内,导弹艇,1992年,NULL,,35节,NULL,NULL,NULL,12节航速下航程1800英里
6.3米,026型钢质鱼雷艇,舰船舰艇,11人,21.8米,求新造船厂,{'$oid': '5cc93203831b973d657f1851'},,NULL,46吨,NULL,1966年9月10日,1967年10月,NULL,NULL,中国,500吨以内,导弹艇,1966年6月22日,NULL,,55节,NULL,NULL,NULL,30节航速下航程900公里
2.9米,战艇90E,舰船舰艇,10人,11.9米,Storebro Royal Cruiser(瑞典),{'$oid': '5cc93203831b973d657f1852'},,NULL,9吨,NULL,NULL,NULL,NULL,NULL,瑞典,500吨以内,导弹艇,NULL,NULL,,40节,NULL,NULL,NULL,NULL
7.64米,021G型导弹艇,舰船舰艇,28人,38.8米,中国中华造船厂，中国江西造船厂,{'$oid': '5cc93203831b973d657f1853'},,NULL,234吨,NULL,NULL,NULL,021型导弹艇,NULL,中国,500吨以内,导弹艇,NULL,NULL,"
021G型导弹艇，为021型导弹艇的改进型，现已全部退役。021G型导弹艇与021型导弹艇的主要区别是用双联装30毫米全自动舰炮替代了原双联装25毫米舰炮，导弹改装鹰击8反舰导弹，同时在尾部两座导弹发射装置中间甲板室上安装了火炮射击指挥仪（球状物），艇的排水量略有增加。
",39节,NULL,NULL,退役,1400公里
6.06米,6602型木质鱼雷快艇,舰船舰艇,20人,25.05米,NULL,{'$oid': '5cc93204831b973d657f1854'},,NULL,66吨,NULL,1955年5月,1955年2月12日,NULL,NULL,中国,500吨以内,导弹艇,1955年2月12日,NULL,"
 6602型(简称02型)木质鱼雷快艇，北约称为“P-6”型，为仿制前苏联K183型鱼雷快艇，属折角肋骨的滑舰快艇型，共进口12条，自己装配63艘。
",45节,NULL,NULL,NULL,450海里/30节
6.7米,6625型铝质鱼雷快艇 ,舰船舰艇,16人,21.5米,NULL,{'$oid': '5cc93204831b973d657f1855'},,NULL,39.6吨,NULL,1967年3月,1968年9月19日,NULL,NULL,中国,500吨以内,导弹艇,1966 年2月,NULL,"
6625型铝质单水翼鱼雷快艇（北约称P8)，根据原苏联转让的水翼快艇-184型鱼雷艇的技术设计与施工图纸建造，1966 年2月，首艇在425厂正式投料开工，1967年3月下水，1968年9月19日，一号艇完工交货。后续的2至8号艇7艘，转让上海沪东造船厂继续生产。
",NULL,2天,NULL,NULL,550海里
6.7米,P29B导弹艇,舰船舰艇,NULL,33.5米,西江造船厂,{'$oid': '5cc93204831b973d657f1856'},,NULL,134.5吨,NULL,NULL,NULL,024导弹艇,NULL,中国,500吨以内,导弹艇,NULL,NULL,,33.7节,NULL,NULL,在役,600海里/24节
NULL,阿兹玛特级导弹艇/巡逻艇,舰船舰艇,NULL,60米,天津新港造船厂,{'$oid': '5cc93204831b973d657f1857'},http://images.huanqiu.com/sarons/2013/11/f060896a6f8d5b26cd3a4e508b9d7954.jpg,NULL,600吨,NULL,2011年9月24日,2012年6月,NULL,NULL,中国,500-2000吨,导弹艇,NULL,NULL,,30节,NULL,NULL,现役,约600海里
