数量,大类,简介,发射性能,产国,参战情况,全枪长,弹匣容弹量,有效射程,全枪重,战斗射速,类型,制造商,图片,生产年限,_id,名称,口径
NULL,枪械与单兵,,非自动枪支,比利时,NULL,1117毫米,10发,600米,4.85千克,NULL,狙击枪,比利时国营赫斯塔尔公司,http://images.huanqiu.com/sarons/2014/01/8d1e862df4b7df9c3cd075851ca4764c.jpg,1980年,{'$oid': '5cc93246831b973d657f1a2b'},FN30-11式狙击枪,7.62毫米
NULL,枪械与单兵,,自动枪支,美国,阿富汗战争，伊拉克战争,1181毫米,20发,1000米,6.94千克,NULL,狙击枪,奈特军械公司（KAC）,http://images.huanqiu.com/sarons/2014/01/44a3e85abd4cd131e4b084510ce4f819.jpg,2007年,{'$oid': '5cc93246831b973d657f1a2c'},M110 SASS半自动狙击步枪,7.62毫米
NULL,枪械与单兵,,自动枪支,伊拉克,NULL,1209毫米,10发,400米,4.3千克,NULL,狙击枪,NULL,,1989年,{'$oid': '5cc93247831b973d657f1a2d'},奥卡德狙击步枪,7.62毫米
NULL,枪械与单兵,,NULL,瑞士,NULL,998毫米,30发,400米,4.05千克,700发/分,狙击枪,SIG公司,,1988年,{'$oid': '5cc93247831b973d657f1a2e'},SG-550狙击枪,5.56毫米
NULL,枪械与单兵,,非自动枪支,美国,NULL,1054毫米,2发,91.44米,3.52千克,NULL,狙击枪,塔·亨特定制步枪公司，麦克米伦机械公司,,1991年,{'$oid': '5cc93247831b973d657f1a2f'},RSG-12式12号狙击枪,18.2毫米
NULL,枪械与单兵,,NULL,德国,NULL,1180毫米,5发,NULL,6.2千克,NULL,狙击枪,Sauer公司，SIG公司,,1997年,{'$oid': '5cc93247831b973d657f1a30'},SSG-3000狙击枪,7.62毫米
NULL,枪械与单兵,,NULL,以色列,NULL,850毫米,20发,1000米,4.5千克,NULL,狙击枪,以色列TCI公司,,NULL,{'$oid': '5cc93247831b973d657f1a31'},TCIM狙击枪,中口径
NULL,枪械与单兵,,NULL,美国,波斯湾战争，伊拉克战争，阿富汗战争,1092毫米,10发,800米,5.5千克,NULL,狙击枪,雷明登武器公司,,1988年,{'$oid': '5cc93247831b973d657f1a32'},M24狙击步枪,7.62毫米
NULL,枪械与单兵,,半自动枪支,美国,NULL,1168毫米,5发,2000米,15.06千克,NULL,狙击枪,巴雷特枪械公司,,2004年－2006年,{'$oid': '5cc93247831b973d657f1a33'},巴雷特XM109狙击步枪,25毫米
NULL,枪械与单兵,,半自动枪支,美国,NULL,1150毫米,10发,1850米,1447.8千克,NULL,狙击枪,巴雷特枪械公司,,NULL,{'$oid': '5cc93247831b973d657f1a34'},M82A1M狙击步枪,12.7毫米
NULL,枪械与单兵,,非自动枪支,匈牙利,NULL,150毫米,5发,2000米,15千克,NULL,狙击枪,匈牙利技术公司,,NULL,{'$oid': '5cc93248831b973d657f1a35'},猎豹M1狙击枪,12.7毫米
3000,枪械与单兵,,NULL,英国,阿富汗战争，伊拉克战争,1120毫米,10发,800米,6.5千克,NULL,狙击枪,英国精密国际公司,http://images.huanqiu.com/sarons/2014/01/67b81e28994494ed27ef7d9af0cd0466.jpg,1988年,{'$oid': '5cc93248831b973d657f1a36'},AWP狙击枪,7.62毫米
NULL,枪械与单兵,,半自动枪支,美国,NULL,1409毫米,10发,1800米,12.24千克,NULL,狙击枪,巴雷特枪械公司,,1987年,{'$oid': '5cc93248831b973d657f1a37'},M82A2狙击步枪,12.7毫米
